epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1004.85,1.2473,0.92367,1.34098,0.48174,0.43076,0.39679,0.13779,2.56432,2.19037,2.57736,0.000581,0.000581,0.000581
45,1024.24,1.24275,0.91034,1.35339,0.63265,0.37804,0.41417,0.14425,2.51179,2.15509,2.55299,0.000548,0.000548,0.000548
46,1043.73,1.26928,0.93415,1.36888,0.49865,0.4939,0.42564,0.1441,2.58684,2.11904,2.64497,0.000515,0.000515,0.000515
47,1063.28,1.23748,0.91986,1.33541,0.5061,0.43293,0.37549,0.13496,2.54616,2.20528,2.55361,0.000482,0.000482,0.000482
48,1082.73,1.26359,0.92104,1.36676,0.61657,0.35366,0.38641,0.13986,2.52847,2.22154,2.5812,0.000449,0.000449,0.000449
49,1102.03,1.24598,0.92644,1.34991,0.51781,0.45732,0.42086,0.13834,2.57378,2.10333,2.64931,0.000416,0.000416,0.000416
50,1121.51,1.22519,0.88483,1.33344,0.53522,0.44512,0.41532,0.1394,2.55993,2.0628,2.64035,0.000383,0.000383,0.000383
51,1155.52,1.27251,0.9267,1.38482,0.44068,0.43293,0.39399,0.13751,2.44907,2.10796,2.44705,0.00035,0.00035,0.00035
52,1174.91,1.25025,0.87765,1.34748,0.44118,0.46341,0.38025,0.13715,2.48979,2.11727,2.4811,0.000317,0.000317,0.000317
53,1200.5,1.21337,0.84031,1.32055,0.54415,0.40854,0.39309,0.13816,2.52061,2.05173,2.49467,0.000284,0.000284,0.000284
54,1228.3,1.18566,0.82888,1.31128,0.52782,0.38415,0.39152,0.13451,2.53851,2.18599,2.52722,0.000251,0.000251,0.000251
55,1256.18,1.17801,0.81302,1.30844,0.46624,0.37805,0.36592,0.13287,2.55227,2.22734,2.58369,0.000218,0.000218,0.000218
56,1284.06,1.18021,0.78147,1.30242,0.50575,0.43293,0.39158,0.13555,2.54784,2.18885,2.58513,0.000185,0.000185,0.000185
57,1311.79,1.15987,0.76869,1.28858,0.52968,0.42073,0.40926,0.14087,2.52006,2.14595,2.49964,0.000152,0.000152,0.000152
58,1335.46,1.1474,0.76564,1.27747,0.55552,0.40244,0.39989,0.13709,2.5142,2.18038,2.51384,0.000119,0.000119,0.000119
59,1355.15,1.15689,0.75681,1.28276,0.53819,0.44512,0.42157,0.14406,2.53203,2.10465,2.53687,8.6e-05,8.6e-05,8.6e-05
60,1374.94,1.13233,0.74456,1.25878,0.53193,0.45732,0.43253,0.14562,2.54415,2.16117,2.55034,5.3e-05,5.3e-05,5.3e-05
